female_band,male_band,nestling_band,hatch_order,nest,site,brood,hatch_date,sample_date,nestling_age,nestling_number,extract_time,nos_mites,mites_tp,rt_wing_length,mass_pre_obs,mass_post_obs,post_obs_extract_time,3min_glucose,3min_glucose_time,15min_glucose,15min_glucose_time,blood_amount_lysis,blood_amount_rna,lysis_sample,rna_sample,feathers,survive_at_sampling,notes
2640-97398,2850-57907,,,68,Grizz,1,6/2/21,6/5/21,2,4,5:10,0,,7,2.29,2.24,7:00,,,,,,,,,,Y,pre and post obs extraction times are approximations based on SAM's field notebook
2640-97398,2850-57907,,,68,Grizz,1,6/2/21,6/5/21,3,4,5:10,0,,8,2.85,2.94,7:00,,,,,,,,,,Y,pre and post obs extraction times are approximations based on SAM's field notebook
2640-97398,2850-57907,,,68,Grizz,1,6/2/21,6/5/21,1,4,5:10,0,,7,1.8,1.88,7:00,,,,,,,,,,Y,pre and post obs extraction times are approximations based on SAM's field notebook
2640-97398,2850-57907,,,68,Grizz,1,6/2/21,6/5/21,2,4,5:10,0,,7,2.22,2.24,7:00,,,,,,,,,,Y,pre and post obs extraction times are approximations based on SAM's field notebook
2640-97398,2850-57907,2811-06999,,68,Grizz,1,6/2/21,6/10/21,8,4,3:52,0,,26,9.91,10.64,8:02,199,2:50,155,17:50,,,,,,Y,female on the nest
2640-97398,2850-57907,2811-06998,,68,Grizz,1,6/2/21,6/10/21,8,4,3:52,0,,23,8.68,9.04,8:02,185,7:10,170,23:10,,,,,,Y,
2640-97398,2850-57907,2811-06991,,68,Grizz,1,6/2/21,6/10/21,8,4,3:52,0,,22.5,8.81,9.32,8:02,135,7:52,156,24:30:00,,,,,,Y,
2640-97398,2850-57907,2811-06992,,68,Grizz,1,6/2/21,6/10/21,8,4,3:52,0,,15,6.01,6.31,8:02,155,9:46,173,26:00:00,,,,,,Y,
2640-97398,2850-57907,2811-06999,,68,Grizz,1,6/2/21,6/14/21,12,4,4:37,0,,51,14.26,14.62,7:04,232,4:45,275,20:12,0.3,0.2,Y,Y,Y,Y,
2640-97398,2850-57907,2811-06998,,68,Grizz,1,6/2/21,6/14/21,12,4,4:37,0,,45.5,13.38,13.82,7:04,176,1:30,185,16:30,0.5,0.5,Y,Y,Y,Y,
2640-97398,2850-57907,2811-06991,,68,Grizz,1,6/2/21,6/14/21,12,4,4:37,0,,46,13.54,13.81,7:04,148,5:30,182,27:16:00,0.5,0.5,Y,Y,Y,Y,
2640-97398,2850-57907,2811-06992,,68,Grizz,1,6/2/21,6/14/21,12,4,4:37,0,,31,10.35,9.87,7:04,129,2:30,132,24:16:00,0.5,0.3,Y,Y,Y,Y,
2850-57860,UNB,,,154,Grizz,1,6/7/21,6/10/21,3,5,4:32,0,,10,3.37,3.58,8:10,,,,,,,,,,Y,
2850-57860,UNB,,,154,Grizz,1,6/7/21,6/10/21,3,5,4:32,0,,10,3.66,3.85,8:10,,,,,,,,,,Y,
2850-57860,UNB,,,154,Grizz,1,6/7/21,6/10/21,3,5,4:32,0,,8,3.11,3.35,8:10,,,,,,,,,,Y,
2850-57860,UNB,,,154,Grizz,1,6/7/21,6/10/21,3,5,4:32,0,,9,3.09,3.3,8:10,,,,,,,,,,Y,
2850-57860,UNB,,,154,Grizz,1,6/7/21,6/10/21,3,5,4:32,0,,10,3.86,4.14,8:10,,,,,,,,,,Y,
2850-57860,UNB,2811-06995,,154,Grizz,1,6/7/21,6/15/21,8,5,5:03,0,,29,10.48,10.23,8:15,159,1:35,,,,,,,,Y,Deformed tarsi
2850-57860,UNB,2811-06996,,154,Grizz,1,6/7/21,6/15/21,8,5,5:03,0,,27,9.26,9.14,8:15,171,2:31,152,19:20,,,,,,Y,Strangely shaped leg -- old break?; Found dead 6/22
2850-57860,UNB,2811-07000,,154,Grizz,1,6/7/21,6/15/21,8,5,5:03,1,,28.5,10.15,10.03,8:15,160,3:45,161,21:15,,,,,,Y,
2850-57860,UNB,2811-39026,,154,Grizz,1,6/7/21,6/15/21,8,5,5:03,0,,31.5,10.77,10.59,8:15,175,4:10,175,22:14,,,,,,Y,
2850-57860,UNB,2811-39027,,154,Grizz,1,6/7/21,6/15/21,8,5,5:03,0,,29,10.13,10.05,8:15,188,5:20,211,23:01,,,,,,Y,
2850-57860,UNB,2811-07000,,154,Grizz,1,6/7/21,6/19/21,12,3,5:18,0,,51,14.36,13.98,8:04,187,2:04,278,17:54,0.2,0.1,Y,Y,Y,Y,clotty blood
2850-57860,UNB,2811-39026,,154,Grizz,1,6/7/21,6/19/21,12,3,5:18,0,,51.5,13.71,14.27,8:04,184,2:45,223,20:59,0.2,0.1,Y,Y,Y,Y,clotty blood
2850-57860,UNB,2811-06996,,154,Grizz,1,6/7/21,6/19/21,12,3,5:18,0,,37,10.88,8.1,8:04,130,3:18,117,23:00,0.25,0,Y,N,Y,Y,Strangely shaped leg -- old break?; Found dead 6/22
2850-57860,UNB,2811-39027,,154,Grizz,1,6/7/21,6/19/21,12,3,,,,,,,,,,,,,,N,N,N,N,
2850-57860,UNB,2811-06995,,154,Grizz,1,6/7/21,6/19/21,12,3,,,,,,,,,,,,,,N,N,N,N,
2850-57711,2850-57473,,,1,Van Loon,1,6/7/21,6/10/21,3,3,5:15,0,,9,3.92,4.07,7:07,,,,,,,,,,Y,
2850-57711,2850-57473,,,1,Van Loon,1,6/7/21,6/10/21,3,3,5:15,0,,8.5,3.68,3.84,7:07,,,,,,,,,,Y,
2850-57711,2850-57473,,,1,Van Loon,1,6/7/21,6/10/21,3,3,5:15,0,,9,3.68,3.92,7:07,,,,,,,,,,Y,
2850-57711,2850-57473,2811-06994,,1,Van Loon,1,6/7/21,6/15/21,8,3,4:01,5,,28.5,13.23,13.61,7:20,133,1:25,164,17:30,,,,,,Y,
2850-57711,2850-57473,2811-06997,,1,Van Loon,1,6/7/21,6/15/21,8,3,4:01,3,,28.5,12.81,13.31,7:20,130,2:35,165,18:30,,,,,,Y,
2850-57711,2850-57473,2811-06993,,1,Van Loon,1,6/7/21,6/15/21,8,3,4:01,8,,30,12.99,13.29,7:20,155,3:56,126,19:30,,,,,,Y,
2850-57711,2850-57473,2811-06997,,1,Van Loon,1,6/7/21,6/19/21,12,3,3:25,7,,53,17.11,16.44,7:35,221,1:57,272,17:20,0.33,0.5,Y,Y,Y,Y,
2850-57711,2850-57473,2811-06994,,1,Van Loon,1,6/7/21,6/19/21,12,3,3:25,11,,51.5,18.4,17.93,7:35,214,2:59,310,19:50,0.5,0.5,Y,Y,Y,Y,
2850-57711,2850-57473,2811-06993,,1,Van Loon,1,6/7/21,6/19/21,12,3,3:25,7,,54,17.88,17.56,7:35,270,3:40,304,22:10,0.33,0.5,Y,Y,Y,Y,
2850-57520,UNB,,,156,Grizz,1,6/9/21,6/12/21,4,4,4:20,0,,12,5.87,6.16,6:50,,,,,,,,,,Y,
2850-57520,UNB,,,156,Grizz,1,6/9/21,6/12/21,4,4,4:20,0,,13,5.81,6.1,6:50,,,,,,,,,,Y,
2850-57520,UNB,,,156,Grizz,1,6/9/21,6/12/21,4,4,4:20,0,,11.5,5.48,5.68,6:50,,,,,,,,,,Y,
2850-57520,UNB,,,156,Grizz,1,6/9/21,6/12/21,3,4,4:20,0,,8,3.25,3.16,6:50,,,,,,,,,,Y,
2850-57520,UNB,2811-39199,,156,Grizz,1,6/9/21,6/17/21,9,4,4:38,0,,32.5,11.7,12.24,7:18,191,1:38,175,16:22,,,,,,Y,
2850-57520,UNB,2811-39125,,156,Grizz,1,6/9/21,6/17/21,9,4,4:38,0,,32.5,10.49,10.61,7:18,209,2:10,285,17:25,,,,,,Y,
2850-57520,UNB,2811-39126,,156,Grizz,1,6/9/21,6/17/21,9,4,4:38,0,,22,6.89,7,7:18,202,2:57,272,19:46,,,,,,Y,
2850-57520,UNB,2811-39127,,156,Grizz,1,6/9/21,6/17/21,9,4,4:38,0,,35,11.1,11.13,7:18,219,3:25,233,22:38,,,,,,Y,
2850-57520,UNB,2811-39127,,156,Grizz,1,6/9/21,6/21/21,13,3,4:58,0,,55.5,15.12,14.61,7:19,197,2:10,213,17:53,0.5,0.6,Y,Y,Y,Y,
2850-57520,UNB,2811-39199,,156,Grizz,1,6/9/21,6/21/21,13,3,4:58,0,,54,16.52,16.62,7:19,216,2:35,224,18:50,0.4,0.3,Y,Y,Y,Y,
2850-57520,UNB,2811-39125,,156,Grizz,1,6/9/21,6/21/21,13,3,4:58,0,,56,15.1,15.16,7:19,206,3:40,211,22:39,0.4,0.3,Y,Y,Y,Y,
2850-57520,UNB,2811-39126,,156,Grizz,1,6/9/21,6/21/21,13,3,,,,,,,,,,,,,,N,N,N,N,
2640-97390,2850-57866,,1,139,Grizz,1,6/9/21,6/12/21,3,4,4:35,0,,9,4.08,4.2,6:55,,,,,,,,,,Y,mom not on nest;
2640-97390,2850-57866,,1,139,Grizz,1,6/9/21,6/12/21,3,4,4:35,0,,9,4.23,4.4,6:55,,,,,,,,,,Y,mom not on nest;
2640-97390,2850-57866,,1,139,Grizz,1,6/9/21,6/12/21,3,4,4:35,0,,9,3.62,3.65,6:55,,,,,,,,,,Y,mom not on nest;
2640-97390,2850-57866,,2,139,Grizz,1,6/9/21,6/12/21,2,4,4:35,0,,7.5,2.52,2.56,6:55,,,,,,,,,,Y,mom not on nest; likely day 2 based on size
2640-97390,2850-57866,2811-39128,,139,Grizz,1,6/9/21,6/17/21,8,4,5:19,0,,30,10.71,10.91,7:20,246,1:14,212,16:08,,,,,,Y,
2640-97390,2850-57866,2811-39129,,139,Grizz,1,6/9/21,6/17/21,8,4,5:19,0,,27,8.31,8.48,7:20,118,1:53,192,17:49,,,,,,Y,
2640-97390,2850-57866,2811-39131,,139,Grizz,1,6/9/21,6/17/21,8,4,5:19,0,,24,8.81,8.99,7:20,175,2:53,201,19:40,,,,,,Y,
2640-97390,2850-57866,2811-39130,,139,Grizz,1,6/9/21,6/17/21,8,4,5:19,0,,29.5,10.53,10.37,7:20,209,3:45,209,21:20,,,,,,Y,
2640-97390,2850-57866,2811-39130,,139,Grizz,1,6/9/21,6/21/21,12,3,5:30,0,,50,15.3,15.16,7:24,147,1:44,197,17:43,0.5,0.4,Y,Y,Y,Y,
2640-97390,2850-57866,2811-39131,,139,Grizz,1,6/9/21,6/21/21,12,3,5:30,0,,44.5,15.34,15.79,7:24,162,2:17,175,20:24,0.2,0.2,Y,Y,Y,Y,
2640-97390,2850-57866,2811-39128,,139,Grizz,1,6/9/21,6/21/21,12,3,5:30,0,,50.5,16.58,16.08,7:24,192,2:50,216,23:32,0.3,0.4,Y,Y,Y,Y,
2640-97390,2850-57866,2811-39129,,139,Grizz,1,6/9/21,6/21/21,12,3,,,,,,,,,,,,,,N,N,N,N,
