"","female_band","nest","site","obs_date","nestling_age","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","obs_duration","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits"
"1","2640-97398","68","grizz","6/5/21",3,15,8,7,9,3,6,3572.876,2985.696,587.18,3313.298,2884.63,428.668,3603.402,0,0,0
"2","2640-97398","68","grizz","6/10/21",8,12,7,5,11,5,6,2609.266,1551.244,1058.022,1992.092,1174.341,817.751,3548.414,12,11,1
"3","2640-97398","68","grizz","6/14/21",12,20,10,9,18,9,9,1412.77,298.172,1100.684,138.288,138.288,0,3609.452,6,3,3
"4","2850-57860","154","grizz","6/10/21",3,18,7,11,16,5,11,2783.001,1488.821,1294.18,2010.208,987.397,1022.811,3569.564,10,10,0
"5","2850-57860","154","grizz","6/15/21",8,13,8,5,9,3,6,2516.237,1697.195,819.042,142.309,142.309,0,3572.162,13,10,3
"6","2850-57860","154","grizz","6/19/21",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2850-57711","1","vanloon","6/10/21",3,22,11,11,18,8,10,3538.365,2219.113,1319.252,2860.116,1826.201,1033.915,3602.468,14,14,0
"8","2850-57711","1","vanloon","6/15/21",8,20,11,9,16,8,8,2492.243,1658.807,833.436,1101.383,852.183,249.2,3604.352,21,19,2
"9","2850-57711","1","vanloon","6/19/21",12,23,13,9,22,12,9,976.218,884.209,89.25,0,0,0,3604.423,9,9,0
"10","2850-57520","156","grizz","6/12/21",4,19,9,10,11,3,8,3320.04,2354.163,965.877,2788.802,2143.267,645.535,3693.106,21,20,1
"11","2850-57520","156","grizz","6/17/21",9,15,5,10,12,4,8,2154.071,1514.585,639.486,970.084,970.084,0,3605.086,26,23,3
"12","2850-57520","156","grizz","6/21/21",13,6,1,4,5,0,4,2647.007,2538.158,103.066,0,0,0,3616.141,0,0,0
"13","2640-97390","139","grizz","6/12/21",3,17,7,10,7,4,3,3532.759,2767.347,765.412,2339.763,2322.257,17.506,3642.022,16,16,0
"14","2640-97390","139","grizz","6/17/21",8,15,7,8,10,5,5,2833.955,1948.297,885.658,1673.068,1673.068,0,3635.203,6,3,3
"15","2640-97390","139","grizz","6/21/21",12,8,4,4,6,3,3,1697.595,942.9,754.695,624.13,624.13,0,3611.702,1,1,0
"16","2640-97484","102","grizz","6/12/21",3,22,12,10,5,2,3,3501.791,2207.557,1294.234,3109.929,2022.809,1087.12,3602.869,7,7,0
"17","2640-97484","102","grizz","6/17/21",8,20,12,8,16,10,6,2640.052,1455.014,1185.038,1106.851,1001.545,105.306,3609.736,15,10,5
"18","2640-97484","102","grizz","6/21/21",12,20,13,7,18,12,6,607.647,428.373,179.274,0,0,0,3605.86,3,3,0
"19","2850-57482","46","grizz","6/14/21",3,11,6,5,7,3,4,3480.781,2570.501,910.28,2626.791,1877.459,749.332,3608.87,20,16,4
"20","2850-57482","46","grizz","6/19/21",8,11,6,5,8,4,4,1923.285,1308.959,614.326,1428.768,876.162,552.606,3597.451,11,9,2
"21","2850-57482","46","grizz","6/23/21",12,16,8,7,11,5,6,2302.613,997.149,694.107,303.254,151.795,151.459,3598.534,16,13,3
"22","2850-57519","114","grizz","6/15/21",3,25,12,13,14,5,9,3500.418,2385.305,1115.113,2956.968,2142.621,814.347,3598.309,24,15,9
"23","2850-57519","114","grizz","6/21/21",9,9,3,6,9,3,6,1233.99,978.326,255.664,927.446,927.446,0,3614.808,1,1,0
"24","2850-57519","114","grizz","6/24/21",12,24,10,14,22,10,12,215.551,105.053,110.498,0,0,0,3621.84,1,0,1
